publication_date,date,variable,N
2021-01-26,2020-06-15,Number of deaths,0
2021-01-26,2020-06-16,Number of cases,8
2021-01-26,2020-06-16,Number of tests,2991
2021-01-26,2020-06-16,Number of deaths,0
2021-01-26,2020-06-17,Number of cases,4
2021-01-26,2020-06-17,Number of tests,2730
2021-01-26,2020-06-17,Number of deaths,0
2021-01-26,2020-06-18,Number of cases,8
2021-01-26,2020-06-18,Number of tests,2069
2021-01-26,2020-06-18,Number of deaths,0
2021-01-26,2020-06-19,Number of cases,0
2021-01-26,2020-06-19,Number of tests,1440
2021-01-26,2020-06-19,Number of deaths,0
2021-01-26,2020-06-20,Number of cases,2
2021-01-26,2020-06-20,Number of tests,747
2021-01-26,2020-06-20,Number of deaths,1
2021-01-26,2020-06-21,Number of cases,13
2021-01-26,2020-06-21,Number of tests,687
2021-01-26,2020-06-21,Number of deaths,1
2021-01-26,2020-06-22,Number of cases,5
2021-01-26,2020-06-22,Number of tests,1604
2021-01-26,2020-06-22,Number of deaths,0
2021-01-26,2020-06-23,Number of cases,5
2021-01-26,2020-06-23,Number of tests,2635
2021-01-26,2020-06-23,Number of deaths,0
2021-01-26,2020-06-24,Number of cases,17
2021-01-26,2020-06-24,Number of tests,2330
2021-01-26,2020-06-24,Number of deaths,1
2021-01-26,2020-06-25,Number of cases,14
2021-01-26,2020-06-25,Number of tests,2693
2021-01-26,2020-06-25,Number of deaths,0
2021-01-26,2020-06-26,Number of cases,3
2021-01-26,2020-06-26,Number of tests,2176
2021-01-26,2020-06-26,Number of deaths,0
2021-01-26,2020-06-27,Number of cases,2
2021-01-26,2020-06-27,Number of tests,1556
2021-01-26,2020-06-27,Number of deaths,0
2021-01-26,2020-06-28,Number of cases,7
2021-01-26,2020-06-28,Number of tests,965
2021-01-26,2020-06-28,Number of deaths,0
2021-01-26,2020-06-29,Number of cases,15
2021-01-26,2020-06-29,Number of tests,1696
2021-01-26,2020-06-29,Number of deaths,1
2021-01-26,2020-06-30,Number of cases,10
2021-01-26,2020-06-30,Number of tests,2834
2021-01-26,2020-06-30,Number of deaths,0
2021-01-26,2020-07-01,Number of cases,2
2021-01-26,2020-07-01,Number of tests,2776
2021-01-26,2020-07-01,Number of deaths,0
2021-01-26,2020-07-02,Number of cases,7
2021-01-26,2020-07-02,Number of tests,3769
2021-01-26,2020-07-02,Number of deaths,0
2021-01-26,2020-07-03,Number of cases,6
2021-01-26,2020-07-03,Number of tests,3240
